name,fans_num,country_region,platform,update_frequency,industry,display_volume,roi_forecast,avatar_link,budget,submit_ip,submit_time
BreakingVap Officiel,72800,FR,YouTube,3/w,电子烟,4000,0.8,https://ho.media/wp-content/uploads/2016/09/kol-y-BreakingVap-Officiel.jpg,300,127.0.0.1,11/20/2020 11:05
Vap Phone,4290,FR,YouTube,1/m,电子烟,5000,1.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Vap-Phone.jpg,50,127.0.0.1,11/20/2020 11:05
Vapo Shop,83600,FR,YouTube,1/w,电子烟,16000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Vapo-Shop.jpg,100,127.0.0.1,11/20/2020 11:05
LiamsGhosts,122000,CA,YouTube,1/w,电子烟,25000,0.6,https://ho.media/wp-content/uploads/2016/09/kol-y-LiamsGhosts.jpg,200,127.0.0.1,11/20/2020 11:05
Vap' Extreme,45500,FR,YouTube,1/w,电子烟,4000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Vap-Extreme.jpg,100,127.0.0.1,11/20/2020 11:05
Jai Haze,196000,US,YouTube,5/w,电子烟,26000,1,https://ho.media/wp-content/uploads/2016/09/kol-y-Jai-Haze.jpg,650,127.0.0.1,11/20/2020 11:05
Onz Vape,303000,AR,YouTube,5/w,电子烟,330000,0.2,https://ho.media/wp-content/uploads/2016/09/kol-y-Onz-Vape.jpg,800,127.0.0.1,11/20/2020 11:05
Jim Vv,6330,BE,YouTube,3/w,电子烟,4000,0.5,https://ho.media/wp-content/uploads/2016/09/kol-y-Jim-Vv.jpg,50,127.0.0.1,11/20/2020 11:05
HiLIQ,2060,JP,YouTube,2/w,电子烟,3000,0.9,https://ho.media/wp-content/uploads/2016/09/kol-y-HiLIQ.jpg,50,127.0.0.1,11/20/2020 11:05
Punky vapes,5520,FR,YouTube,2/w,电子烟,4000,1.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Punky-vapes.jpg,50,127.0.0.1,11/20/2020 11:05
Ryan Hall,656000,US,YouTube,4/w,电子烟,31000,0.7,https://ho.media/wp-content/uploads/2016/09/kol-y-Ryan-Hall.jpg,2800,127.0.0.1,11/20/2020 11:05
Adam Winch,9070,UK,YouTube,4/w,电子烟,2800,1,https://ho.media/wp-content/uploads/2016/09/kol-y-Adam-Winch.jpg,50,127.0.0.1,11/20/2020 11:05
Zona do Vapor,144000,BR,YouTube,2/w,电子烟,19000,0.4,https://ho.media/wp-content/uploads/2016/09/kol-y-Zona-do-Vapor.jpg,400,127.0.0.1,11/20/2020 11:05
FlatCap Vaper,2370,UK,YouTube,2/w,电子烟,1000,1.1,https://ho.media/wp-content/uploads/2016/09/kol-y-FlatCap-Vaper.jpg,50,127.0.0.1,11/20/2020 11:05
Wendy Vapes,21600,US,YouTube,1/d,电子烟,3500,1.9,https://ho.media/wp-content/uploads/2016/09/kol-y-Wendy-Vapes.jpg,100,127.0.0.1,11/20/2020 11:05
Ma Vape & DIY,8810,FR,YouTube,1/m,电子烟,6000,0.3,https://ho.media/wp-content/uploads/2016/09/kol-y-Ma-Vape-DIY.jpg,50,127.0.0.1,11/20/2020 11:05
